Action Required,SKU number,Product Barcode,Product Title (ENGLISH),Product Title (MALAY),Product Title (CHINESE),Brand (EN),Manufacturer / Principal (EN),Image URL (Google Drive Link),Product Price (RM),Limit on Item per checkout,Child Category (EN),Is Active?,Tags,Product Description (EN),Product Description (MY),Product Description (CN),,,,,,,,,,
Add New Item,303060251,9555022309941,MAMEE PERISA VEGE CURRY 2MINS 5 x 79G,,,MAMEE,MAMEE,,4.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060314,9555022303314,MAMEE CHEF MI TARIK AYAM PEDAS 4 x 82G,,,MAMEE,MAMEE,,6.90,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060265,9555050305113,IBUMIE MI GORENG ASLI 5 x 80G,,,IBUMIE,IBUMIE,,4.50,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060353,9555050305540,IBUMIE MI HAR MEE PERISA UDANG 5 x 85G,,,IBUMIE,IBUMIE,,5.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060354,9555050305229,IBUMIE MI BAAGUS MI GORENG ASLI 5 x 70G,,,IBUMIE,IBUMIE,,4.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060582,9555050305236,IBUMIE MI BAAGUS MI GORENG ASLI 5 x 70G RED,,,IBUMIE,IBUMIE,,5.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060262,8850987101519,MAMA SHRIMP TOMYAM 5 x 60G,,,MAMA,MAMA,,8.80,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060263,8850987131370,MAMA SHRIMP CREAMY TOMYAM 5 x 60G,,,MAMA,MAMA,,8.80,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303010040,9557128111817,PAMA THAI TOMYAM 5 x 55G,,,PAMA,PAMA,,7.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303010046,9557128111510,PAMA BIHUN SEGERA 5 x 55G,,,PAMA,PAMA,,7.60,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303010047,9557128111619,PAMA KUA TEOW 5 x 55G,,,PAMA,PAMA,,8.10,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060319,6920238083023,NONGSHIM BOWL - KIMCHI 117G,,,NONGSHIM,NONGSHIM,,5.40,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303060320,6920238083016,NONGSHIM BOWL - RAMYUN 117G,,,NONGSHIM,NONGSHIM,,5.70,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303060321,6920238013112,NONGSHIM BOWL - CLAYPOT RAMYUN 117G,,,NONGSHIM,NONGSHIM,,5.30,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303060384,6920238090717,NONGSHIM SHRIMP FLAVOR 5 x 120G,,,NONGSHIM,NONGSHIM,,18.30,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060195,8801073142541,SAMYANG RAMEN TOPOKKI 5 x 700G,,,SAMYANG,SAMYANG,,24.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060197,8801073142961,SAMYANG BULDAK KIMCHI 5 x 675G,,,SAMYANG,SAMYANG,,26.50,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060382,8801073142367,SAMYANG JJAJANG HOT CHICKEN FLAVOR RAMEN 5 x 145G,,,SAMYANG,SAMYANG,,24.50,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060381,8801073141858,SAMYANG HOT CHICKEN FLAVOR RAMEN 5 x 145G,,,SAMYANG,SAMYANG,,24.50,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303012002,089686180626,INDOMIE GORENG ASLI 80G x 5,,,INDOMIE,INDOMIE,,6.10,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303012001,089686180640,INDOMIE GORENG SPECIAL 85G x 5,,,INDOMIE,INDOMIE,,6.10,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060266,089686182095,INDOMIE SOUP CHICKEN CURRY 74G x 5,,,INDOMIE,INDOMIE,,5.60,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060267,089686182033,INDOMIE SOUP SOTO 78G x 5,,,INDOMIE,INDOMIE,,5.60,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060269,8994963002107,INDOMIE GORENG ACEH 90G x 5,,,INDOMIE,INDOMIE,,6.80,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060270,089686171969,INDOMIE GREEN CHILI 85G x 5,,,INDOMIE,INDOMIE,,6.80,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060268,089686171686,INDOMIE GORENG HOT & SPICY 80GM x 5'S,,,INDOMIE,INDOMIE,,6.80,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,30301099,089686180367,INDOMIE CUP GORENG BBQ 75G,,,INDOMIE,INDOMIE,,3.10,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,30301100,089686180657,INDOMIE CUP GORENG SPECIAL 75G,,,INDOMIE,INDOMIE,,3.10,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,30301102,089686182057,INDOMIE CUP SOUP CHICKEN 60G,,,INDOMIE,INDOMIE,,2.90,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,30301104,089686182071,INDOMIE CUP SOUP CHICKEN CURRY 60G,,,INDOMIE,INDOMIE,,2.90,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,30301103,089686182064,INDOMIE CUP SOUP SOTO 65G,,,INDOMIE,INDOMIE,,2.90,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010141,8998866615556,MI SEDAP CUP KOREAN SPICY SOUP 75G,,,MI SEDAP,MI SEDAP,,2.70,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303160273,8998866801829,MI SEDAP KARI 5 x 73G,,,MI SEDAP,MI SEDAP,,5.30,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,101080005,9556570316856,ICE MOUNTAIN 600ML ,,,F&N,F&N,,1.20,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101080001,9556570005286,ICE MOUNTAIN 1.5L,,,F&N,F&N,,2.40,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101040212,9555272900332,DRINKING WATER 500ML,,,KELUARGA,KELUARGA,,1.00,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101040214,9555272900349,DRINKING WATER 1.5L,,,KELUARGA,KELUARGA,,1.40,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101070002,9556135015002,MINERAL WATER 500ML,,,CACTUS,CACTUS,,1.00,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101070001,9556135011509,MINERAL WATER 1.5L,,,CACTUS,CACTUS,,2.00,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101140116,9557290611115,DRINKING WATER 500ML,,,SEA MASTER,SEA MASTER,,0.80,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101140200,9557290166660,DRINKING WATER 1.5L,,,SEA MASTER,SEA MASTER,,1.50,,Beverages > Water > Mineral Water,1,,,,,,,,,,,,,,
Add New Item,101060002,9556570103319,F&N SEASONS GRASSJELLY CAN 300ML,,,F&N,F&N,,1.40,,"Beverages > Tea > Fruit, Flower & Herbal Tea",1,,,,,,,,,,,,,,
Add New Item,101060034,9556570103371,F&N SEASONS CHRYTEA CAN 300ML,,,F&N,F&N,,1.40,,"Beverages > Tea > Fruit, Flower & Herbal Tea",1,,,,,,,,,,,,,,
Add New Item,101060018,9556570005408,F&N SEASONS ICE LEMON TEA 380ML ,,,F&N,F&N,,2.00,,"Beverages > Tea > Fruit, Flower & Herbal Tea",1,,,,,,,,,,,,,,
Add New Item,101020036,9556570311790,100PLUS ACTIVE 500ML,,,F&N,F&N,,2.10,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020022,9556570311134,100PLUS ORI 500ML ,,,F&N,F&N,,2.10,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020965,9556570008829,100PLUS ORIGINAL ZERO 500ML ,,,F&N,F&N,,2.10,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,155424457,9556570006894,100PLUS BLACKCURRANT 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101240088,9556570006870,100PLUS BERRY 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101140088,9556570006832,100PLUS LIME 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101010153,9556570010228,F&N EST COLA 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101010154,9556570010280,F&N BANDUNG 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,101010148,9556570007303,F&N FRUITADE 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,101010152,9556570007570,F&N GINGER 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,101010151,9556570006818,F&N GRAPE PET 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,101010150,9556570007266,F&N ICE CREAM SODA 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,10102000257,9556570006795,F&N ORANGE 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,10102000258,9556570007280,F&N SARSI 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,101010149,9556570007327,F&N ZAPPEL 1.2L ,,,F&N,F&N,,2.50,,Beverages > Soft Drinks,1,,,,,,,,,,,,,,
Add New Item,101020047,9556570514375,F&N SEASONS CHRYTEA 1L ,,,F&N,F&N,,2.90,,"Beverages > Tea > Fruit, Flower & Herbal Tea",1,,,,,,,,,,,,,,
Add New Item,101020028,9556570312131,100PLUS ORIGINAL 1.5L ,,,F&N,F&N,,4.30,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
